Date,Farm,Sensor Number,"Type of Trap (G = Ground, P = Pitfall, F = Fly trap) ",Species,Total Count,Number of Legs,Number of wings,Color,Features,Body segments,Photo,Species? ,Photo File Name,
7/8/19,PU,1C,P,fly,13,6,2,"black head and light brown body, clear wings, ","around 1-2mm in length, long curved bodies that has lines going across it, ",3,,,,
7/8/19,PU,1C,P,beetle,1,6,4,"black and irridescent, white hair","very large (~3cm), giant protruding eyes laterally, long antannae (~ abdomen length), pincers, forewings covered randomely in small divots, long posterior legs",3,,,,
7/8/19,PU,1C,P,beetle,1,6,0,"light brown and dark brown body, light brown legs","around 1mm in length, top of mid / third section is light brown and then the pther hald is brown ",3,,,,
7/8/19,PU,1C,P,beetle,1,6,2,"light brown underneath, dark brown and black body, head and legs ","around 7-8mm in length, very large and round third section ",3,,,,
7/16/19,PU,6C,G,little black fly (same as line 319),14,6,2,"shiny black, yellow stripes on legs, clear wings, black eyes",1-2mm,3,,,,
7/16/19,PU,6C,G,beetle,1,6,2,"mix of light and dark brown legs, mix of golden yellow and black body and mid section, black head","very glossy smooth shinny skin, mid section has two large black spots that take up most of the section, the head is a metallic black ",3,,,,
7/16/19,PU,6C,G,flower fly,18,,,,,,,flower fly,,
7/16/19,PU,6C,G,spotted lady beetle,2,,,,,,,spotted lady beetle,,
7/16/19,PU,6C,G,beetle,1,6,2,"red body with black dots on its third section and middle section, black head, yellowtranslucent legs ","around 3-4mm in length, two black dots on its third section and a black zig zag line underneath it, large black strip doen the middle of the mid section",3,,,,
7/16/19,PU,6C,G,fly,136,6,2,"back of body is black and the under half is yellow, dark red eyes, yellow legs","flat third section (which is just black), around 1-2mm in length, back is a bit hunched, two short antenna",3,,,,
7/16/19,PU,6C,G,fly,1,4,2,"light blue metallic body and haed, black eyes, yellow legs ","scaly skin, around 2mm in length, has long black hairs come off of its hunched back, third section is striped, ",3,,,,
7/16/19,PU,6C,G,cricket?,1,6,2,"dark brown with some light brown stripes and splotches, light brown legs","very small wings, spines and hairs on legs, long antennae with ball at the base, 2 tail-like things, hairs all over body, 1cm long",3,,,,
7/16/19,PU,6C,G,moth,1,6,4,"mix of white and gold, ","wings are more white and the body is more golden especially near the head, shinny and sparkly skin, around 4mm in length ",2,,,,
7/16/19,PU,6C,G,fly,2,6,2,"neonngreen/ yellow translucent body, yellow head, red/brown eyes, neon green legs , clear wings",less than 1mm in length,2,,,,
7/16/19,PU,6C,G,hemiptera,5,6,4,"yellow head with dark vertical stripes, black eyes, black abdomen, black pronotum","nubby head, pronotum ends in a posterior triangle, longs spidery legs, leaf-shaped body",3,,,,
7/16/19,PU,6C,G,fly,3,6,2,"black and yellow legs, black body, head and legs, yellowish spots on its back",very long antenna and legs compared to body length ,3,,,,
7/16/19,PU,6C,G,fly,1,6,2,all black including outline of wings,"around 7mm in length, has little white hairs coming off of the body, thick thighs, ",3,,,,
7/16/19,PU,6C,G,fly,6,6,2,black all over,"long curly antenna, around 3mm in length, black tinted wings, curved body",3,,,,
7/16/19,PU,6C,P,ant,1,6,0,black (translucent),"~1mm, covered in thin black hair",3,,,PU-7-15-6P-ant,
7/16/19,PU,6C,P,beetle,2,6,4,black and brown,"medium length segmented antanne, body approx 1cm long, head and pronotum black, brown forewings with vertical indentations",3,,,PU-7-15-6P-beetle,
7/16/19,PU,4C,P,beetle,1,6,4,red brown,"fat man, hunchbacked, huge abdomen clearly segmented ventrally",3,,,PU-7-15-4P-beetle,
7/16/19,PU,4C,P,beetle,1,6,4,"black and irridescent, white hair","very large (~3cm), giant protruding eyes laterally, long antannae (~ abdomen length), pincers, forewings covered randomely in small divots, long posterior legs",3,,,PU-7-15-4P-beetle2,
7/16/19,PU,5C,G,fly,104,6,2,"black head divided into 3 sections with yellow lines, black body and tail, yellow abdomen, yellow/clear legs ","brown eyes (70%), black skinny antennae, translucent wings, lower portion of legs are segmented, around 4mm in size",3,,,,
7/16/19,PU,5C,P,beetle,1,6,4,black and slightly rainbow irridescent,"small head, broad pronotum in one piece, body ~2cm, thicc femurs posteriorly, indented vertical rows on forewings, visible brown probes on face",3,,,PU-7-15-5P-beetle,
7/16/19,PU,5C,G,beetle/cicada?,7,6,2,"green and yellow splotchy head, black body and tail, yellow legs","black eyes on the side of its head, round triangular head, yellow translucent wings, aroudn 4-6mm in size",3,,,,
7/16/19,PU,5C,P,dermaptera,1,6,0,black brown and orange,"two long segmented antannae, half-spherical head with multifaceted disk eyes and clear pincers, small thorax where all legs originate, relatively long abdomen with two pronounced orange cercus",3,,,PU-7-15-5P-dermaptera,
7/16/19,PU,6C,G,fly,52,6,2,"red eyes, yellow mid section, back third section, yellow legs and head","around 1-2mm in length, eyes take up around 90% of head, ",3,,,,
7/16/19,PU,6C,G,spider,1,6,2,"all white / clear, red eyes","top od head is brown, around 3-4mm in length, black heair coming off judt the legs",2,,,,
7/16/19,PU,5C,G,flower fly,5,,,,,,,flower fly,,
7/16/19,PU,5C,G,fly,1,6,2,"black all over, yellow legs","brown fly eyes (70%), small black antennae, translucent wings, around 3mm in length",3,,,,
7/16/19,PU,5C,G,fly,2,6,2,"black head with yellow strip through it, and body, yellow abdomen, grey and yellow horizantal stripped tail, yellow legs with black tips","translucent wings, small black antennae, black fly eyes (70%), around 3mm in size",3,,,PU-7-15-5C-fly8,
7/16/19,PU,8C,F,spotted lady beetle,2,,,,,,,spotted lady beetle,,
7/16/19,PU,8C,F,fly,9,6,2,"black and white striped wings, yellow brownish legs, black metallic mid section and head","around 2-3mm in length, very shinny skin with a few hairs on the mid section, two little black pinchers",3,,,,
7/16/19,PU,8C,F,gnat,3,,,,,,,gnat,,
7/16/19,PU,8C,F,litlle black fly,4,,,,,,,litlle black fly,,
7/16/19,PU,6C,F,insect,1,6,2,"light green, white iridescent wings, orange antennae","triangular shaped head, two long antennae coming off point of the head, 2 small eyes towards front of head, 3-4mm",2,,,,
7/16/19,PU,5C,G,fly,3,6,2,"black all over, yellow legs, ","antennae start small and then increase in width as you go along it, antennae start off yellow and fade into black, around 1mm in size",3,,,PU-7-15-5C-fly7,
7/16/19,PU,4C,F,spotted lady beetle,1,,,,,,,spotted lady beetle,,
7/16/19,PU,4C,F,fly,4,6,2,"black and white striped wings, yellow brownish legs, black metallic mid section and head","around 2-3mm in length, very shinny skin with a few hairs on the mid section, two little black pinchers",3,,,,
7/16/19,PU,4C,F,fly,1,6,2,"light metallic greenish blue mid section and head, black and yellow striped third section, yellow legs with a few black mark","around 6-7mm in length, short white hairs all over body, clear wings",3,,,,
7/16/19,PU,5C,G,spider,1,8,0,"golden head , darker shade on body, legs are yellwo with black joints","black eyes, around 1-2mm in size (body), total size is around 3mm in length",3,,,PU-7-15-5C-spider2,
7/16/19,PU,4C,F,beetle,1,6,0,"black body and legs civered in silvery blue hairs, black head ","long black antenna that is curved, around 2-3mm in length, somewhat scaly looking back and thick legs",2,,,,
7/16/19,PU,5C,G,beetle (same as orchard organics row 312),7,6,2,"black all over, brown legs, ","small white hairs all over body and tail, round organism (circle shape), around 1-2mm in length, head and body are compressed with the tail being the main part of organism, forewings are brown and lie vertically along its back, hindwings are translucent",3,,,PU-7-15-5C-beetle1,
7/16/19,PU,5C,G,fly,12,6,2,"black all over, brown legs","grey fly eyes (70%), translucent wings, black antennae, around 1mm in size",3,,,PU-7-15-5C-fly7,
7/16/19,PU,5C,G,fly,2,6,2,"dark brown all over with yellow parts connecting the different segments, golden brown legs","long beady antennae (have seen this fly before), translucent wings, 1-2mm in length",3,,,PU-7-15-5C-fly6,
7/16/19,PU,5C,G,fly,1,6,2,"golden brown head, golden body, grey tail, golden legs","black fly eyes (80%), black hair follicles all over body and tail, around 3mm in size",3,,,PU-7-15-5C-fly5,
7/16/19,PU,5C,G,fly (same as row 613),3,6,2,"black and white striped wings, yellow brownish legs, black metallic mid section and head","around 2-3mm in length, very shinny skin with a few hairs on the mid section, two little black pinchers",3,,,,
7/16/19,PU,5C,G,spotted lady beetle,1,,,,,,,,PU-7-15-5C-spottedladybeetle,
7/16/19,PU,4C,F,beetle,1,6,2,tan colored head and body and legs,"around 3mm in length, has little brown beads going down its back in lines",2,,,,
7/16/19,PU,5C,G,fly,2,6,2,"black head and body, black and yellow stripped tail, yellow abdomen, black thighs with yellow tips","2 small black masses coming off the front of its head, brown/dark red fly eyes on side of its head (80%), 2mm in size",3,,,PU-7-15-5C-fly4,
7/16/19,PU,4C,F,fly,2,6,2,"yellow head with dark vertical stripes, black eyes, black abdomen, black pronotum","nubby head, pronotum ends in a posterior triangle, longs spidery legs, leaf-shaped body",3,,,,
7/16/19,PU,4C,F,insect,1,6,2,"light green, white iridescent wings, orange antennae","triangular shaped head, two long antennae coming off point of the head, 2 small eyes towards front of head, 3-4mm",2,,,,
7/16/19,PU,5C,G,spider,1,8,0,"black head, body and tail, grey legs","quite hairy on its tail (white hairs), thick black mandible with white hairs all over it, black hair follicles along legs, around 1.5cm in total size, body is around 6-8mm in length",2,,,PU-7-15-5C-spider1,
7/16/19,PU,4C,F,fly,2,6,0,"brown body, bright orange cheeks on lateral aspects of head","long body, abdomen prominently segmented, two small cercus protruding from posterior, slight hunchback in pronotum, flat, disc-shaped head with very bright orange lateral aspects",3,,,,
7/16/19,PU,4C,F,fly,1,6,2,"yellow legs, red eyes, black metallic head and body","arounf 2mm in length, hunched back, few long black hairs coming of the body, scaly",3,,,,
7/16/19,PU,5C,G,fly,3,6,2,"black head, grey/brown splotchy body and tail, clear legs","translucent wings, beige beady antennae, less than 1mm in size",3,,,PU-7-15-5C-fly4,
7/16/19,PU,7C,G,fly,8,6,2,"shiny black head, thorax, abdomen, femurs, and tibias. Light brown tarsus and off-white wings. maroon eyes.","pancake-like head smooshed against thorax. Two spongy projections from face. Eyes set into head. Thorax very fat with conical point at joint with legs. Long black, pointy hari on thorax. Andpmem re;atively flat.",3,,,,
7/16/19,PU,7C,G,spotted lady beetle,1,,,,,,,spotted lady beetle,,
7/16/19,PU,7C,G,flower fly,1,,,,,,,flower fly,,
7/16/19,PU,7C,G,fly,2,6,2,black all over,"long curly antenna, around 3mm in length, black tinted wings, curved body",3,,,,
7/16/19,PU,5C,G,fly,25,6,2,"black all over, black thighs with yellow tibia, ","grey translucent wings, 2 small masses coming off the front of its head, eyes are the same color as the face and so it is too hard to distinguish, arorund 1-2mm in size",3,,,PU-7-15-5C-fly3,
7/16/19,PU,7C,G,fly,2,6,2,"black and white striped wings, yellow brownish legs, black metallic mid section and head","around 2-3mm in length, very shinny skin with a few hairs on the mid section, two little black pinchers",3,,,,
7/16/19,PU,7C,G,insect,2,6,2,"light green, white iridescent wings, orange antennae","triangular shaped head, two long antennae coming off point of the head, 2 small eyes towards front of head, 3-4mm",2,,,,
7/16/19,PU,5C,G,orthoptera?,1,6,2,"brown and black splotchy head and body, tail is predominately black with some brown, black thighs, beige tibia",,3,,,PU-7-15-5C-orthoptera,
7/16/19,PU,7C,G,fly,7,6,2,"black and yellow striped third section, black head, mid section and head","around 7mm in length, very thick body, the first strip is very thick and yellow and the rest of the yellow stripes are thin, yellow strip down the middle of the head",3,,,,
7/16/19,PU,5C,G,black larva,1,,,, ,,,,,
7/16/19,PU,5C,G,fly,4,6,2,"black all over, golden legs","long antennae with horizantal lines all along it, translucent wings, eyes are same color as head and so it is too hard to distinguish, around 2-3mm in size",3,,,PU-7-15-5C-fly2,
7/16/19,PU,7C,G,fly,9,6,2,"back of body is black and the under half is yellow, dark red eyes, yellow legs","flat third section (which is just black), around 1-2mm in length, back is a bit hunched, two short antenna",3,,,,
7/16/19,PU,5C,G,gnat,2,,,,,,,,,
7/16/19,PU,7C,G,fly,1,6,2,"yellow legs, red eyes, black metallic head and body","arounf 2mm in length, hunched back, few long black hairs coming of the body, scaly",3,,,,
7/16/19,PU,7C,G,moth,1,6,4,"light brown eyes, white wings with blur specs close to where the wings attach to the body, blue body and head with white fluffy hairs","around 10-12mm in length, blue specs increse  in quantity closer to the body",3,,,,
7/16/19,PU,7C,G,spider,2,8,0,"light brown legs with grey spots, dark brown/ black body, black head","around 5-6mm in length, black long hairs only on legs, little white hairs just on the body,  thick black fuzzy looking pinchers",2,,,,
7/16/19,PU,7C,G,spider,1,8,0,"dark brown head, yellowish brown body and legs","legs have grey markings on them, shinny head, around 3mm in length, thin black hairs coming off of just the legs",2,,,,
7/16/19,PU,7C,G,spider,1,6,2,"black legs with a few yellow stripes, black head, red eyes, black body, clear wings","around 1-2mm in length, looks like it has two short horns, wrinkly skin",2,,,,
7/16/19,PU,5C,P,millipede,1,many,0,orange and white,"long tubular body, teeny legs, small black antannae, brown striping on dorsal surface",many,,,PU-7-15-5P-millipede,
7/16/19,PU,5C,G,classic black fly,1,,,,,,,,,
7/16/19,PU,5C,G,fly,2,6,2,"black all over, black legs","black eyes (60%), long black antennae, long skinny tail, grey translucent wings, around 5-6mm in length",5,,,PU-7-15-5C-fly1,
7/16/19,PU,7C,G,little black fly ,18,,,,,,,little black fly ,,
7/16/19,PU,7C,G,beetle (same as orchard organics row 312),1,6,2,"black all over, brown legs, ","small white hairs all over body and tail, round organism (circle shape), around 1-2mm in length, head and body are compressed with the tail being the main part of organism, forewings are brown and lie vertically along its back, hindwings are translucent",3,,,PU-7-15-5C-beetle1,
7/16/19,PU,2C,P,ant,1,6,0,"black body, brown appendages","spherical body segments, calf-looking leg segments, large pincers",3,,,PU-7-15-2P-ant,
7/16/19,PU,7C,G,beetle,1,6,2,"mix of light and dark brown legs, mix of golden yellow and black body and mid section, black head","very glossy smooth shinny skin, mid section has two large black spots that take up most of the section, the head is a metallic black ",3,,,,
7/16/19,PU,7C,G,cricket?,1,6,0,"mix of light brown, black and tan body, legs and head ","around 6mm in lengthvery thick thighs, short black hairs on legs, striped mid section",3,,,,
7/16/19,PU,2C,P,dermaptera,1,6,0,black,"triangular head, long tubular clearly segmented body, segmented antannae",3,,,PU-7-15-2P-dermaptera,
7/16/19,PU,8C,P,orthoptera,1,6,4,"red, black, yellow","small half-spherical head with black eyes, head is reddish-orange, pronotum half-cylinder yellow medially and black lateral stripes, long tapering eggplant-like abdomen exhibiting one black medial stripe broken by mid-sagittal sectioning, very large posterior legs with posterior spikes",3,,,PU-7-15-8P-orthoptera,
7/16/19,PU,7C,G,ant,2,6,2,glossy black body with brown antannae and legs,"pancake head, hunchback, long thorax, teardrop abdomen, long segmented antannae",3,,,,
7/16/19,PU,8C,P,beetle,1,6,4,bright rainbow irridescence,"shiny broad pronotum, forewings exhibit random divots",3,,,PU-7-15-8P-beetle,
7/16/19,PU,7C,G,beetle,1,6,2,"yellow/ gold body and legs, black head","around 1mm in length, shinny spotted skin, the third section is more of a golden yellow",3,,,,
7/16/19,PU,8C,P,spider,1,8,0,yellow,"large (~5cm leg+body diameter), two large mandibles, egg-shaped web sac, dark hair all over legs",2,,,PU-7-15-8P-spider,
7/16/19,PU,7C,G,fly,3,6,2,"yellow head with dark vertical stripes, black eyes, black abdomen, black pronotum","nubby head, pronotum ends in a posterior triangle, longs spidery legs, leaf-shaped body",3,,,,
7/16/19,PU,1C,P,orthoptera,1,6,4,"pink, black, white","massive posterior thighs, large body (~1cm), egg-shaped head hanging down anteriorly, striping and splotching all over body",3,,,PU-7-15-1P-orthoptera,
7/16/19,PU,1C,G,spotted lady beetle,1,,,,,,,spotted lady beetle,,
7/16/19,PU,1C,G,fly,1,6,2,"yellow head with dark vertical stripes, black eyes, black abdomen, black pronotum","nubby head, pronotum ends in a posterior triangle, longs spidery legs, leaf-shaped body",3,,,,
7/16/19,PU,1C,G,flower fly,2,,,,,,,flower fly,,
7/16/19,PU,1C,G,beetle,1,6,2,"red body with black dots on its third section and middle section, black head, yellowtranslucent legs ","around 3-4mm in length, two black dots on its third section and a black zig zag line underneath it, large black strip doen the middle of the mid section",3,,,,
7/16/19,PU,1C,G,fly,1,6,2,black all over,"long curly antenna, around 3mm in length, black tinted wings, curved body",3,,,,
7/16/19,PU,1C,G,fly,12,6,2,"back of body is black and the under half is yellow, dark red eyes, yellow legs","flat third section (which is just black), around 1-2mm in length, back is a bit hunched, two short antenna",3,,,,
7/16/19,PU,1C,P,dermaptera,2,6,0,"brown, white","clera pincers on face, small antannae, long tubular abdomen with brown and white stripes, long pronotum",3,,,PU-7-15-1P-dermaptera,
7/16/19,PU,1C,G,little black fly,10,,,,,,,little black fly,,
7/16/19,PU,8C,G,flower fly,10,,,,,,,flower fly,,
7/16/19,PU,1C,G,spider,3,8,0,"light brown legs with grey spots, dark brown/ black body, black head","around 5-6mm in length, black long hairs only on legs, little white hairs just on the body,  thick black fuzzy looking pinchers",2,,,,
7/16/19,PU,8C,G,fly,77,6,2,"black all over, black thighs and yellow tibia","2 small black masses coming off the front of its face, translucent wings, black eyes (same color as the head so it is hard to distinguish), around 1-2mm in size",3,,,PU-7-15-8G-fly20,
7/16/19,PU,1C,G,beetle,2,6,0,"brownish red body with a black head and mid section, light brown legs","around 3-4mm in length, end of body is black and has lines going across it, beaded dak brown antenna, skinny mid sections",4,,,,
7/16/19,PU,8C,G,spotted lady beetle,3,,,,,,,spotted lady beetle,PU-7-15-8G-spottedladybeetle,
7/16/19,PU,8C,G,fly,2,6,2,"black all over, grey legs","grey translucent wings, head is far smaller than tail (tail is cone shape), less than 1mm in size (looks like a gnat)",3,,,PU-7-15-8G-fly19,
7/16/19,PU,8C,G,classic grey fly,5,,,,,,,,PU-7-15-8G-fly18,
7/16/19,PU,1C,G,ant,1,6,0,"light grey body and head, yellow translucent legs","around 1-2mm in length, beaded light brown antenna, thin small body with large head and fourth segment ",4,,,,
7/16/19,PU,1C,G,beetle,1,6,2,"yellow legs, brown head, brown/light brown wings","around 3mm in length, shinny skin, has somewhat of a triangular head",2,,,,
7/16/19,PU,8C,G,fly (same as row 597),26,6,2,"black head divided into 3 sections with yellow lines, black body and tail, yellow abdomen, yellow/clear legs ","brown eyes (70%), black skinny antennae, translucent wings, lower portion of legs are segmented, around 4mm in size",3,,,,
7/16/19,PU,8C,G,fly,1,6,2,"black head, black body and tail with grey splotches, grey thighs and black tibia","large red fly eyes (90%), black hair follicles all over, golden translucent wings, round buldgey tail, around 1cm in size",3,,,PU-7-15-8G-fly16,
7/16/19,PU,1C,P,Spider,6,8,0,"light brown, tan","two large black mandibles, small body (~1cm diameter), two black beady eyes, black hairs on legs",2,,,PU-7-15-1P-spider,
7/16/19,PU,1C,P,millipede,1,many,0,"brown, white","long tubular, segmented body, brown dorsally and white ventrally, tons of tiny white legs",many,,,PU-7-15-1P-millipede,
7/16/19,PU,8C,G,classic black fly,2,,,,,,,,PU-7-15-8G-fly15,
7/16/19,PU,8C,G,fly,3,6,2,"black head, body and tail, black legs","red fly eyes (70%), translucent wings, black hair follicles all over body, tail is round and flat, black antennae coming off the front of its face, around 8mm in length",3,,,PU-7-15-8G-fly14,
7/16/19,PU,1C,P,beetle,1,6,4,"black, irridescent rainbow","large (~3cm), disc-shaped head",3,,,PU-7-15-1P-beetle,
7/16/19,PU,3C,G,spotted lady beetle,2,,,,,,,spotted lady beetle,,
7/16/19,PU,3C,G,flower fly,2,,,,,,,flower fly,,
7/16/19,PU,3C,G,beetle,1,6,4,"black and irridescent, white hair","very large (~3cm), giant protruding eyes laterally, long antannae (~ abdomen length), pincers, forewings covered randomely in small divots, long posterior legs",3,,,,
7/16/19,PU,3C,G,fly,6,6,2,"shiny black head, thorax, abdomen, femurs, and tibias. Light brown tarsus and off-white wings. maroon eyes.","pancake-like head smooshed against thorax. Two spongy projections from face. Eyes set into head. Thorax very fat with conical point at joint with legs. Long black, pointy hari on thorax. Andpmem re;atively flat.",3,,,,
7/16/19,PU,1C,P,fly,1,6,2,black,"egg abdomen, pancake head",3,,,PU-7-15-1P-fly,
7/16/19,PU,8C,G,insect,1,8-10?,0,"golden face, grey white and beige splotchy body, brown legs","black hair follicles all over body, brown eyes (80%), tail has distinct ridges and is cone shaped, arouond 3-4mm in size",3,,,PU-7-15-8G-beetle5,
7/16/19,PU,3C,G,spider,2,8,0,"light brown legs with grey spots, dark brown and black body with a few white hairs","a few black hairs on the legs, around 5mm in length, body and head are around the same size",2,,,,
7/16/19,PU,3C,P,fly,1,6,2,black and white,"spherical head, elongated thorax, teardrop abdomen clearly segmented, white ventrally black dorsally",3,,,PU-7-15-3P-fly,
7/16/19,PU,3C,G,little black fly,19,,,,,,,little black fly,,
7/16/19,PU,8C,G,fly,1,6,2,"black head, grey and beige splotchy boyd and tail, yellow legs","long beady antennae coming off the front of its face (black), translucent wings, body is round and buldgey, 1-2mm in length",3,,,PU-7-15-8G-fly14,
7/16/19,PU,6C,F,fly,9,6,2,"bkacy, yellow","black body, yellow legs, wings white and black striped. pancake head, spherical thorax, long abdomen",3,,,PU-7-15-6F-fly,
7/16/19,PU,3C,G,fly,1,6,2,"neon translucent light green body and legs, clear wings, brownish red eyes,","around 1mm in length, top of the head is yellowish, eyes take up about 70% of the face",2,,,,
7/16/19,PU,3C,G,fly,1,6,2,"black and yellow legs, black body, head and legs, yellowish spots on its back",very long antenna and legs compared to body length ,3,,,,
7/16/19,PU,3C,G,fly,1,6,2,black all over with black tinted wings,"thick body, around 4-5mm in length, short white hairs alll over body, distinct lines going across body that are somewhat white",3,,,,
7/16/19,PU,8C,G,fly,1,6,4,"black head, body and tail, yellow legs","translucent wings, cone type of head, around 2-3mm in length",3,,,PU-7-15-8G-fly13,
7/16/19,PU,6C,F,beetle,1,6,4,black and yellow,"small head, yellow antannae",3,,,PU-7-15-6F-beetle,
7/16/19,PU,6C,F,fly,1,6,2,translucent yellow,"sideways egg head, large thorax, teardrop abdomen. Very translucent",3,,,PU-7-15-6F-fly2,
7/16/19,PU,3C,G,cricket?,1,6,0,"mix of light brown, black and tan body, legs and head ","around 6mm in lengthvery thick thighs, short black hairs on legs, striped mid section",3,,,,
7/16/19,PU,3C,G,fly,1,6,2,"yellow legs, red eyes, yellowish brown mid section and head, brown third section ","around 1-2mm in length, eyes take uo 90% of face, wrinkly looking skin and shinny legs",3,,,,
7/16/19,PU,8C,G,fly (same as row 613),4,6,2,"black and white striped wings, yellow brownish legs, black metallic mid section and head","around 2-3mm in length, very shinny skin with a few hairs on the mid section, two little black pinchers",3,,,,
7/16/19,PU,8C,G,fly,2,6,2,"black all over, black thighs, yellow tibia","2 small black masses coming off the front of its face, dark brown eyes (hard to distinguish), cone shaped tail, translucent wings, 5mm in length",3,,,PU-7-15-8G-fly11,
7/16/19,PU,3C,G,fly,3,6,2,black all over,"long curly antenna, around 3mm in length, black tinted wings, curved body",3,,,,
7/16/19,PU,6C,F,larvadude,15,6,2,yellow,"spherical head and thorax, teardrop abdomen, striped antannae",3,,,PU-7-15-6F-fly3,
7/16/19,PU,8C,G,fly,1,6,2,"black head and body, black metallic tail, yellow legs","translucent wings, buldgey body, around 2-3mm in length",3,,,PU-7-15-8G-fly10,
7/16/19,PU,3C,G,fly,2,6,2,"black all over, golden legs","long antennae with horizantal lines all along it, translucent wings, eyes are same color as head and so it is too hard to distinguish, around 2-3mm in size",3,,,,
7/16/19,PU,6C,F,larvadude,2,6,2,brown,"tubular head/thorax, teardrop abdomen darker brown",3,,,PU-7-15-6F-larvadude,
7/16/19,PU,3C,G,fly,12,6,2,"back of body is black and the under half is yellow, dark red eyes, yellow legs","flat third section (which is just black), around 1-2mm in length, back is a bit hunched, two short antenna",3,,,,
7/16/19,PU,5C,F,fly (same as row 613),3,6,2,"black and white striped wings, yellow brownish legs, black metallic mid section and head","around 2-3mm in length, very shinny skin with a few hairs on the mid section, two little black pinchers",3,,,,
7/16/19,PU,8C,G,beetle (same as orchard organics row 312),3,6,2,"black all over, brown legs, ","small white hairs all over body and tail, round organism (circle shape), around 1-2mm in length, head and body are compressed with the tail being the main part of organism, forewings are brown and lie vertically along its back, hindwings are translucent",3,,,,
7/16/19,PU,5C,F,fly,1,6,2,"neon translucent light green body and legs, clear wings, brownish red eyes,","around 1mm in length, top of the head is yellowish, eyes take up about 70% of the face",2,,,,
7/16/19,PU,5C,F,spider,1,8,0,"black body and head, striped black and yellow legs","around 2-3mm in length, wrinkly body, head and egg sack are around the same size, few little black hairs on the legs",2,,,,
7/16/19,PU,6C,F,fly,2,6,2,glossy black and yellow,"half-spherical head, roughly spherical",3,,,PU-7-15-6F-fly4,
7/16/19,PU,8C,G,fly,1,6,2,"balck head and body, yellow and black strippey tail, yellow abdomen, black thighs, yellow thighs","translucent wings, black eyes 80%, around 3mm in size",3,,,PU-7-15-8G-fly9,
7/16/19,PU,6C,F,fly,2,6,2,bkack and translucent,"hunchbacked, translucent legs",3,,,PU-7-15-6F-fly5,
7/16/19,PU,8C,G,black larva,3,,,,,,,,,
7/16/19,PU,5C,F,spider,1,8,0,white clear body,"very small head, around 2-3mm in length, very translucent body with a somewhat yellowish tint on its back",3,,,,
7/16/19,PU,8C,G,beetle/cicada?,7,6,2,"yellow/green face with black dots, black body and tail, ","black eyes on the side of its head, translucent wings, round triangular head, aorund 2-4mm in size",3,,,PU-7-15-8G-beetle/cicada2,
7/16/19,PU,5C,F,little black fly,2,,,,,,,little black fly,,
7/16/19,PU,5C,F,fly,2,6,2,"back of body is black and the under half is yellow, dark red eyes, yellow legs","flat third section (which is just black), around 1-2mm in length, back is a bit hunched, two short antenna",3,,,,
7/16/19,PU,6C,F,fly,1,6,2,yellow and black,"pancake head, bulgy red eyes, hunchback",3,,,PU-7-15-6F-fly6,
7/16/19,PU,4C,G,flower fly,10,,,,,,,flower fly,,
7/16/19,PU,4C,G,cricket?,1,6,0,"mix of light brown, black and tan body, legs and head ","around 6mm in lengthvery thick thighs, short black hairs on legs, striped mid section",3,,,,
7/16/19,PU,8C,G,fly,1,6,2,"yellow head, black body, black and yellow stripped tail, yellow abdomen, yellow legs","brown fly eyes (80%), 2 small yellow masses coming off the front of its head, translucent wings, around 2-3mm in size",3,,,PU-7-15-8G-fly8,
7/16/19,PU,2C,F,beetle,1,6,4,orange and black,"small head with lateral black eyes, prominent orange coloration with black spots, black legs",3,,confused flower beetle,PU-7-15-2F-confused,
7/16/19,PU,4C,G,fly  (same as row 597),252,6,2,"black head divided into 3 sections with yellow lines, black body and tail, yellow abdomen, yellow/clear legs ","brown eyes (70%), black skinny antennae, translucent wings, lower portion of legs are segmented, around 4mm in size",3,,,,
7/16/19,PU,4C,G,fly ,11,6,2,"black body and head, yellow legs","thin body, 1-2mm in length, yellow , yellow strip around waist area, very long black antenna",3,,,,
7/16/19,PU,4C,G,little black fly,43,,,,,,,little black fly,,
7/16/19,PU,2C,F,fly,9,6,2,black and yellow,"small spherical head, large thorax, teardrop abdomen, yellow tibias and tarsus",3,,,PU-7-15-2F-fly,
7/16/19,PU,2C,F,fly,7,6,2,black and yellow,"on the large side (~7mm), most prominent feature black and white striped wings",3,,,PU-7-15-2F-fly2,
7/16/19,PU,8C,G,fly,3,6,2,"black head, body and tail, black legs, ","translucent wings, small lump that comes off the front of its face (beige in color) and then 2 small hair like antennae coming off the lump, black fly eyes, 3mm in length",3,,,PU-7-15-8G-fly7,
7/16/19,PU,2C,F,fly,1,6,2,black,"spherical head, large lateral multifaceted eyes, bulbous thing on face like black clown nose, flat abdomen",3,,,PU-7-15-2F-fly3,
7/16/19,PU,2C,F,fly,1,6,2,"brown head, striping on wing veins","lateral black beady eyes, long thin antannae, smooshed half-sphere head",3,,,PU-7-15-2F-fly4,
7/16/19,PU,2C,F,ant,1,6,2,black and brown,"smooshed spherical head and thorax, teardrop abdomen (flattened), segmented antannae",3,,,PU-7-15-2F-ant,
7/16/19,PU,8C,G,spider,1,8,0,"grey head, and body, grey legs","black spider eyes, around 2-3mm in length",3,,,PU-7-15-8G-spider4,
7/16/19,PU,2C,F,,1,,,,,,,,,
