Date,"Sensor Number (1 = Tomato, 2 = Zuccuni)","Type of Trap (G = Ground, P = Pitfall, F = Fly trap) ",Species,Total Count,Number of Legs,Number of wings,Color,Features,Body Segments,Photo,Species? ,pic_id
8/2/19,2,G,spider,1,8,0,loght brown,"lighter head, darker abdomen, ~1cm diameter",2,,,
8/2/19,2,G,ant,1,6,0,brown,"pincers, thick antannae with light brown striping, long vase-shaped thorax, large flattish teardrop abdomen",3,,,oo-7-19-1G-ant7
8/2/19,2,G,beetle,4,6,4,"black, dark red","small laterally extended head, broad pronotum, forewings long vertical divots, yellow antannae",3,,,
8/2/19,2,G,fly,1,6,2,"light brown eyes, light green transparent looing body, legs are a darker green color",lower section comes to a thin point,2,,"Greenbug, Schizaphis graminum",
8/2/19,2,G,beetle/cicada,4,6,2,"beige and black splotchy head, body and tail, legs are translucent pale yellow","small black and yellow splotchy antennae, translucent wings that wrap around the body, around 2-3mm in size",3,,,
8/2/19,2,G,fly,2,6,2,shiny black body with black legs that terminate yellow and antanne that begin with a yellow section ut quickly become and stay black. \,"approximately flat, disc-shaped head, long egg shaed and intricately scaled thoracic region, prominently pointed teardrop-shaped lumbar region. Front set of legs anterior on thoracic region and latte two sets of legs clumbed closely on posterior of thoracic region",3,,,
8/2/19,2,G,fly (same as row 208),7,6,2,"black all over, black legs with yellow joints","translucent wings that lie vertically along its back, long black antennae, back has white spots along it, small head (triangular in shape), aroumnd 1-3mm in size",3,,,
8/2/19,2,G,cricket,1,6,0,"light green head and body with a long thick light brownish orange strip going down the middle of its back (strip extends to top of head), four front legs are yellow, back legs are green with a dark brown strip going down the middle of the leg","very long back legs that have thick thighs, sparkly looking skin, two dark brown spots toward the middle upper portion of the back",2,,,
8/2/19,2,G,fly,1,6,2,metallic blue-gray body with alternating yellow-black legs and white and black zebra-striped wings. Eyes metallic irridescent,"head smushed against thoracic region. Eyes long running ventral to dorsal on lateral aspects of head. Two small spherical protrusions from anterior of face. Thoracic region trapezoidal and fat, with flat joint with lumbar region. lumbar stretched teardrop shape.",3,,,
8/2/19,2,F,moth,1,6,2,"black and orange head, black/biegey splotchy body, oragne and black tail, wings are black and orange","balck eyes (60%), orange hairs all over head making it ""fluffy"", cone like tail, small horn like antennae coming off the top of its head, wingspan is around 3cm, bdoy is around 1-1.5cm in size",3,,,oo-8-2-2F-moth2
8/2/19,2,F,fly,1,6,2,"black all over, black legs with brown joints","black eyes (60%), translucent wings, stinger like feature at the end of its tail, around 4-5mm in size",3,,,oo-8-2-2F-fly5
8/2/19,2,F,fly,1,6,2,"black all over, black thighs with yellow tibia","translucent wings, 2 small black masses coming off the front of its face, black long eyes (40%), aroudn 4-5mm in size",3,,,oo-8-2-2F-fly4
8/2/19,2,F,fly,1,6,2,"black all over, ","black hairs all over, translucent wings, brown eyes (80%),  aoruund 6-9mm in length",3,,,oo-8-2-2F-fly3
8/2/19,2,G,beetle,2,6,2,"black all over, brown legs, ","small white hairs all over body and tail, round organism (circle shape), around 1-2mm in length, head and body are compressed with the tail being the main part of organism, forewings are brown and lie vertically along its back, hindwings are translucent",3,,,
8/2/19,2,F,orange larva,5,,,,,,,,oo-7-19-1G-larvadude
8/2/19,2,F,classic big black fly,1,,,,,,,,
8/2/19,1,F,spider,1,8,0,brown,"two large mandibles with black ends, egg-shaped thorax, tubular abdomen",2,,,oo-8-2-1F-spider
8/2/19,2,F,spider,1,8,0,"brown head and body, grey legs","black eyes all over head, round flat body, around 1-3mm in size",2,,,oo-8-2-2F-spider1
8/2/19,2,G,mite,2,6,0,"completely neon orange body, legs and head, legs are more of a translucent orange","larger round body with a very small head, less than 1mm in length",2,,clover mite,
8/2/19,1,F,orthoptera,1,6,4,"yellow, green","stubby bullet head, leaf-shaped body",3,,,oo-8-2-1F-orthoptera
8/2/19,2,F,fly,1,6,4,"black head, black boyd, black tail with white vertical hairs, black legs with yellow tarsus","lblack atnennae, balck long eyes  (40%),  3 small lumps coming off teh top of its head, a big black mass coming off the front of its face, around 1cm in size",3,,,oo-8-2-2F-fly2
8/2/19,1,F,gnat,3,6,2,brown,"small black spherical head, hunchback, fat egg-shaped abdomen",3,,,oo-8-2-1F-gnat
8/2/19,2,G,beetle,1,6,2,"tan/brown wings, brown/orangish mid section, brown head","7-8mm in length, skin kind of sparkles very short hairs",3,,,
8/2/19,2,F,fly,1,6,2,"balck head, black and brown splotchy body and tail, yellow legs","black eyes (70%), triangular head, around 1-3mm in size",2,,,oo-8-2-2F-fly1
8/2/19,1,F,fly,2,6,2,brown,"flat disc head, broad thorax, hunchback, long flat abdomen",3,,,oo-8-2-1F-fly
8/2/19,1,F,beetle,1,6,4,black,"small head with downward mouth, small pronotum, smooth forewings",3,,,oo-8-2-1F-beetle
8/2/19,2,F,moth,1,6,4,"white fluffy head, black body and taitl, white wings with 2 brown splotches,","(decapitated) black long antennae, whtie hairs at the beginning of the body, logn skinny tail, wingspan is around 5cm, body is around 1.5-2cm long",3,,,oo-8-2-2F-moth1
8/2/19,2,G,insect,1,6,0,reddish/light brown,"looks like a large dot with a very little head, around 2mm in length",2,,,
8/2/19,1,F,fly,2,6,2,brown,"bean head, roughly spherical thorax, tubular abdomen",3,,,oo-8-2-1F-fly2
8/2/19,2,G,fly,4,6,2,"black body and head, black/yellow legs, clear wings","very shinny glossy looking skin, around 7-8mm in length, thick bodies",3,,,
8/2/19,1,F,fly,2,6,2,"black, yellow","spherical black head, hunchback, spherical glossy thorax",3,,,oo-8-2-1F-fly3
8/2/19,2,G,cricket?,1,6,0,"yellow leg with brown spots, yellow/brown and grey body, yellow head","around 1cm, has a translucent looking color, two brown stripes on the back of the body",2,,,
8/2/19,1,F,fly,1,6,2,"black, yellow","bean head with large lateral eyes, roughly spherical thorax, rubular abdoman dark dorsally and yellow ventrally",3,,,oo-8-2-1F-fly4
8/2/19,1,F,fly,1,6,2,brown,"bean head light mid-sagitally and dark laterally, light trapezoidal thorax, small eggy abdomen",3,,,oo-8-2-1F-fly5
8/2/19,2,G,beetle,1,6,2,"green metallic wings, red body and mid section, black head, black legs","around 3-4mm in length, very round looking body, black long beaded antenna",3,,,
8/2/19,1,F,larvadude,1,many,0,"yellow, brown",long caterpillar like guy all yellow except for one long brown stripe that runs mid-sagitally down the dorsal aspect,many,,,oo-8-2-1F-larvadude
8/2/19,1,F,fly,2,6,2,"yellow, black","half-spherical head, trapezoidal thorax, flat long abdomen with black and yellow stripes",3,,flower fly,oo-8-2-1F-fly6
8/2/19,2,G,spider,1,8,0,"white/grey body and legs, light brown mid section","around 6-7mm in length, has a few light brown spots on legs, white hairs on egg sack, kind of looks hairy all over",2,,,
8/2/19,1,G,moth,1,6,4,"white fluffy head, black body and taitl, white wings with 2 brown splotches,","(decapitated) black long antennae, whtie hairs at the beginning of the body, logn skinny tail, wingspan is around 5cm, body is around 1.5-2cm long",3,,,
8/2/19,1,G,beetle,8,6,4,"brown all over, golden antennae and legs","long beady antennae, brown wings that lie vertically along its back with vertical ridges, thick black thighs, 2-4mm in size",3,,,
8/2/19,2,G,fly,5,6,2,light brown translucent/ yellow skin layer where the body is brown underneath and black eyes ,"around 2mm in length, the grey part is metallic and could be part of the wings ",2,,,
8/2/19,1,G,fly,1,6,2,"black all over, black thighs and yellow legs","translucent wings, around 1-2mm in size, ",3,,,
8/2/19,1,G,beetle/cicada,3,6,2-4?,"black head, black and brown splotchy tail and wings, yellow legs","yellow spikes coming off the back of its legs, hindwings are translucent, round triangular head, around 3-5mm in size ",3,,,
8/2/19,2,G,cicada type thing,1,6,2,black and white stripes,"0.5cm, vertical stripes, especially on its wings",2,,IMG_2335.jpg,
8/2/19,2,G,insect,1,6,2,"golden hairs, brown/ black head, legs, and mid section, red eyes, golden brown third section","kind of looks like a bee, around 15-2mm in length, very thick fuzzy body, ",2,,,
8/2/19,1,G,classic big black fly,1,,,,,,,,
8/2/19,1,G,beetle/cicada,2,6,2,"biege head and body, balck tail, beige legs","beige wings, round triangular head, 2 small antennae type hairs coming off the bottom half of its face, cone like tail, around 3-5mm in size",3,,,
8/2/19,1,G,fly,28,6,2,"black all over, yellow legs","translucent wings, 2 black masses coming off the front of its head, black eyes, around 2-3mm in length",3,,,
8/2/19,2,G,gnat,6,6,2,black with translucent light brown legs transparent wings,"small head with long antannae, spherical hunchbacked thorax, relatively long stretched egg-shaped lumbar, relatively very long legs",3,,,
8/2/19,1,G,beetle,1,6,2,"dark brown all over, golden legs","golden beady antennae, black eyes, translucent wings, white hairs on tail, pronotum is shiny brown",3,,,
8/2/19,1,G,fly,2,6,2,"black all over, brown legs","balck eyes (80%), 2 black masses on top of head, translucent wings, black hairs on their head, around 3-4mm in length",3,,,
8/2/19,1,G,fly,3,6,2,"beige head, beige body and tail, beige legs","translucent wings and brown spots at the tip, red eyes (70%), black hairs all over head and body, 3-5mm in size",3,,,
8/2/19,1,G,fly,3,6,2,"black head, black/brown splotchy body and tail, grey legs","translucent wings, grey beady antennae, thick back thighs, around 2-3mm in size",3,,,
8/2/19,1,G,ant,16,6,0,"dark brown all over, brown legs","light brown antennae, white hairs all over, around 3-4mm in length",3,,,
8/2/19,1,G,ant?,2,6,0,"black all over, grey legs","grey long antennae, black eyes (60%), around 1-2mm in size",3,,,
8/2/19,1,G,beetle/cicada,3,6,0,"brown/grey/white splotchy head, brown body, brown/white/black splotchy tail, yellow legs","round triangular head, black eyes at the side of its head, yellow spikes coming off the legs, 3-4mm in size",3,,,
8/2/19,1,G,beetle/cicada (same as row 300),1,6,2,"green and yellow head, black tail, yellow legs","translucent wings, round triangular head, tail is cone shaped, aroudn 3-4mm in lengthh",3,,,oo-7-26-2F-beetle/cicada2
8/2/19,1,G,fly,4,6,2,"black head, brown body, orange tail, beige legs","long beige beady antennae, translucent wings, 1mm in size",3,,,
8/2/19,1,G,spider,1,8,0,"brown head, body and tail, grey abdomen, grey legs","thick black mandible, black hair follicles all over legs and manible, 4-5mm body span, 1cm all over",3,,,
8/2/19,1,G,fly,2,6,2,"balck all over, yellow legs with brown joints, grey beady antennae, ","translucent wings, long grey beady antennae, around 1-2mm in size",3,,,
8/2/19,1,G,fly,1,6,2,"yellow and black stripped head and body, black tail, yellow legs","translucent wings, 2 black masses coming off the front of its head, black eyes, around 2-4mm in length",3,,,
8/2/19,1,G,fly,3,6,2,"black all over, yellow legs, ","long black beady antennae, translucent wings, around 1-2mm in size",3,,,
8/2/19,1,G,beetle,3,6,0,"balck all over, brown legs with yellow joints","black antennae with the last ""bead"" on the antennae being thick and lonng, lighter black eyes (60%), around 1-2mm in size",3,,,
8/2/19,1,G,flower fly,3,,,,,,,flower fly,
8/2/19,1,G,fly,2,6,2,"black all over with a brown/black colored tail, black legs with paler joints","2 small black masses coming off the front of its face, black eyes (60%), translucent wings, 2-3mm in size",3,,,
8/2/19,1,G,spider,1,8,0,"beige all over, beige legs","black eyes all over head, black hair follicles coming off its legs, around 5-6mm in size",3,,,
8/2/19,1,G,fly,2,6,2,"black head, black body, grey upper tail with a yellow abdomen ","around 3-5mm in size, 2 small black masses coming off the front of its face, grey translucent wings",3,,,
8/2/19,1,G,spider,1,8,0,"grey head, body and tail, beige legs","black eyes all over head, legs have black hair follicles coming off it, around 1cm in total size, body is around 4-5mm in length",2,,,
8/2/19,1,G,moth,4,6,2,"black and orange head, black/biegey splotchy body, oragne and black tail, wings are black and orange","balck eyes (60%), orange hairs all over head making it ""fluffy"", cone like tail, small horn like antennae coming off the top of its head, wingspan is around 3cm, bdoy is around 1-1.5cm in size",3,,,oo-8-2-2F-moth2
8/2/19,1,G,insect,1,8,0,"bright brown all over, grey legs","big black eyes (95%), around 2-3mm in size",2,,,
8/2/19,1,G,fly,2,6,2,"blakc allaover, grey legs","long black beady antennae, small round head, grey translucent wings, around 3-4 mm in size",3,,,
8/2/19,1,G,fly,1,6,2,"black all over, tail has white specks on its back, black thighs with yellow tibia, ","thick back thighs, translucent wings, twiggy black antennae, around 1-3mm in size",3,,,
8/2/19,1,G,fly,1,6,2,"black all over, legs are beige with black joints","translucent wings, tail is long with a big buldge at the end of it, around 5-7mm in size",3,,,
8/2/19,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,
